Day,Date,8.30-9.00,9.00-10.00,10.00-11.00,11.00-12.00,12.00-1.00,Total,Column1,5.00-6.00,6.00-7.00,7.00-8.00,Total2,InsertDateTime
Sunday,1st May,Closed,,,,,0,Closed,,,,,31/05/2022 17:00
Monday,2nd May,1,7,8,2,2,20,,,,,0,31/05/2022 17:00
Tuesday,3rd May,,3,7,11,3,23,,3,3,,6,31/05/2022 17:00
Wednesday,4th May,,6,5,1,1,13,,,,,0,31/05/2022 17:00
Wednesday,4th May,,8,3,1,2,14,,,,,0,01/06/2022 17:00
Thursday,5th May,,5,7,3,5,20,,4,3,2,9,31/05/2022 17:00
Friday,6th May,,6,8,7,6,27,,,,,0,31/05/2022 17:00
Saturday,7th May,3,8,1,5,,17,Closed,,,,,31/05/2022 17:00
Sunday,8th May,Closed,,,,,0,,,,,,31/05/2022 17:00
Monday,9th May,1,8,9,4,2,24,,,,,0,31/05/2022 17:00
Tuesday,10th May,1,8,6,4,3,22,,2,1,2,5,31/05/2022 17:00
Wednesday,11th May,3,11,7,6,1,28,,,,,0,31/05/2022 17:00
Thursday,12th May,,15,1,5,1,22,,3,5,,8,31/05/2022 17:00
Friday,13th May,3,7,4,3,1,18,,,,,0,31/05/2022 17:00
Saturday,14th May,2,11,5,1,,19,Closed,,,,,31/05/2022 17:00
Sunday,15th May,Closed,,,,,0,,,,,,31/05/2022 17:00
Monday,16th May,3,14,6,3,2,28,,,,,0,31/05/2022 17:00
Tuesday,17th May,6,8,8,4,,26,,9,5,,14,31/05/2022 17:00
Wednesday,18th May,2,14,11,3,3,33,,,,,0,31/05/2022 17:00
Thursday,19th May,2,12,3,9,,26,,7,5,,12,31/05/2022 17:00
Friday,20th May,10,7,7,3,,27,,,,,0,31/05/2022 17:00
Saturday,21st May,,,holiday,,,0,Closed,,,,,31/05/2022 17:00
Sunday,22nd May,Closed,,,,,0,,,,,,31/05/2022 17:00
Monday,23rd May,,,holiday,,,0,,,,,0,31/05/2022 17:00
Tuesday,24th May,6,6,8,4,6,30,,7,3,,10,31/05/2022 17:00
Wednesday,25th May,8,8,6,7,3,32,,,,,0,31/05/2022 17:00
Thursday,26th May,8,8,6,7,2,31,,4,2,,6,31/05/2022 17:00
Friday,27th May,12,3,6,2,,23,,,,,0,31/05/2022 17:00
Saturday,28th May,3,1,6,,,10,Closed,,,,,31/05/2022 17:00
Sunday,29th May,Closed,,,,,0,,,,,,31/05/2022 17:00
Monday,30th May,7,3,10,4,1,25,,,,,0,31/05/2022 17:00
Tuesday,31st May,3,4,7,7,2,23,,8,3,4,15,31/05/2022 17:00
